referencia,descricao,gaveta,dataRetirada,horaRetirada,dataDevolucao,horaDevolucao,usuario,setor
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44225006,Alicate meia cana CuBe 6,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44229010,Chave fenda ponta cruzada CuBe Nr. 0,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44135020,Chave fenda ponta cruzada 5x75 - 3/16x3,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44229031,Chave fenda ponta cruzada CuBe Nr. 2,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44135029,Chave fenda ponta cruzada 6x125 - 1/4x5,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44060101,Alicate para arame de segurança 9,6,30/05/2023,10:19,30/05/2023,16:56,Administrador,Admin
44670102,Chave combinada 3/8,1,01/06/2023,13:04,01/06/2023,13:06,Administrador,Admin
44827104,Adaptador 3/8 para 1/4,1,01/06/2023,13:06,01/06/2023,13:07,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,1,01/06/2023,13:06,01/06/2023,13:07,Administrador,Admin
44804100,Catraca 1/4 6,1,01/06/2023,13:06,01/06/2023,13:07,Administrador,Admin
44003106,Alicate diagonal 6,1,01/06/2023,13:09,01/06/2023,13:09,Administrador,Admin
44670111,Chave combinada 7/8,1,07/06/2023,15:55,07/06/2023,15:56,Administrador,Admin
44670107,Chave combinada 11/16,1,07/06/2023,15:55,07/06/2023,15:56,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,1,07/06/2023,15:55,07/06/2023,15:56,Administrador,Admin
44004181,Alicate curvo 8,1,07/06/2023,15:55,07/06/2023,15:56,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,12/06/2023,9:15,12/06/2023,9:24,Marcelo,Tramontina 
44002126,Alicate diagonal corte rente p/ plastico 6,1,12/06/2023,9:15,12/06/2023,9:24,Marcelo,Tramontina 
44204006,Chave fixa CuBe 13/16x7/8,7,12/06/2023,9:17,12/06/2023,9:26,Administrador,Admin
44201005,Chave combinada CuBe 9/16,7,12/06/2023,9:17,12/06/2023,9:26,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,8,12/06/2023,9:26,12/06/2023,9:26,Administrador,Admin
44052906,Chave de fenda ponta cruzada 3mm,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44052901,Chave de fenda ponta trafix 8mm,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44052905,Chave de fenda ponta cruzada 2.5mm,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44670107,Chave combinada 11/16,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44052904,Chave de fenda ponta chata 3mm,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44052902,Chave de fenda ponta trafix 10mm,2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44052903,"Chave de fenda ponta chata 2,5mm",2,12/06/2023,9:28,12/06/2023,9:28,Administrador,Admin
44004181,Alicate curvo 8,1,12/06/2023,10:50,12/06/2023,10:52,Administrador,Admin
44003106,Alicate diagonal 6,1,12/06/2023,11:05,12/06/2023,11:05,Administrador,Admin
44670105,Chave combinada 9/16,1,12/06/2023,11:05,12/06/2023,11:06,Administrador,Admin
44670104,Chave combinada 1/2,1,12/06/2023,11:05,12/06/2023,11:06,Administrador,Admin
44670102,Chave combinada 3/8,1,12/06/2023,11:05,12/06/2023,11:06,Administrador,Admin
44004181,Alicate curvo 8,1,12/06/2023,11:05,12/06/2023,11:06,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,1,12/06/2023,11:06,12/06/2023,11:06,Administrador,Admin
44004181,Alicate curvo 8,1,12/06/2023,11:06,12/06/2023,11:07,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,1,12/06/2023,11:46,12/06/2023,11:49,Marcelo,Tramontina 
44002126,Alicate diagonal corte rente p/ plastico 6,1,12/06/2023,11:49,12/06/2023,11:49,Marcelo,Tramontina 
44004181,Alicate curvo 8,1,12/06/2023,11:46,12/06/2023,11:49,Marcelo,Tramontina 
44003106,Alicate diagonal 6,1,12/06/2023,11:46,12/06/2023,12:07,Marcelo,Tramontina 
44060101,Alicate para arame de segurança 9,2,12/06/2023,11:52,12/06/2023,12:12,Administrador,Admin
44670102,Chave combinada 3/8,1,12/06/2023,13:10,12/06/2023,13:11,Administrador,Admin
44060101,Alicate para arame de segurança 9,1,13/06/2023,10:32,13/06/2023,10:35,Administrador,Admin
44222008,Alicate universal CuBe 8,6,13/06/2023,10:33,13/06/2023,10:35,Marcelo,Tramontina 
44009107,Alicate para anéis internos curvo 7,3,13/06/2023,10:48,13/06/2023,10:49,Administrador,Admin
44004181,Alicate curvo 8,1,13/06/2023,10:49,13/06/2023,10:50,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,3,13/06/2023,10:49,13/06/2023,10:59,Administrador,Admin
44004183,Alicate meia cana reto dupla injeção,3,13/06/2023,10:49,13/06/2023,10:59,Administrador,Admin
44008107,Alicate para anéis internos reto 7,3,13/06/2023,10:49,13/06/2023,10:59,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,13/06/2023,11:13,13/06/2023,11:14,Administrador,Admin
44060101,Alicate para arame de segurança 9,1,13/06/2023,11:14,13/06/2023,11:18,Administrador,Admin
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,6,13/06/2023,11:20,13/06/2023,11:21,Administrador,Admin
44225006,Alicate meia cana CuBe 6,6,13/06/2023,11:20,13/06/2023,11:21,Administrador,Admin
44670111,Chave combinada 7/8,1,14/06/2023,10:32,14/06/2023,10:34,Administrador,Admin
44670107,Chave combinada 11/16,1,14/06/2023,10:32,14/06/2023,10:34,Administrador,Admin
44670104,Chave combinada 1/2,1,14/06/2023,10:32,14/06/2023,10:34,Administrador,Admin
44670102,Chave combinada 3/8,1,14/06/2023,10:32,14/06/2023,10:34,Administrador,Admin
44670105,Chave combinada 9/16,1,14/06/2023,10:32,14/06/2023,10:34,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,14/06/2023,10:34,14/06/2023,10:48,Administrador,Admin
44060101,Alicate para arame de segurança 9,1,14/06/2023,10:26,14/06/2023,10:48,Marcelo,Tramontina 
44804104,Extensão 1/4 4,1,14/06/2023,10:48,14/06/2023,10:48,Administrador,Admin
44810109,Soquete estriado 1/4 - 1/2,1,14/06/2023,10:49,14/06/2023,10:49,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,14/06/2023,11:02,14/06/2023,11:09,Marcelo,Tramontina 
44670111,Chave combinada 7/8,1,14/06/2023,11:02,14/06/2023,11:09,Marcelo,Tramontina 
44004181,Alicate curvo 8,8,14/06/2023,11:03,14/06/2023,11:10,Marcelo,Tramontina 
43158305,Trena profissional 5M,8,14/06/2023,11:11,14/06/2023,11:17,Administrador,Admin
44804100,Catraca 1/4 6,3,14/06/2023,11:20,14/06/2023,11:21,Tsuyoshi,Helibras
44204006,Chave fixa CuBe 13/16x7/8,7,14/06/2023,10:25,14/06/2023,11:25,Administrador,Admin
44204006,Chave fixa CuBe 13/16x7/8,7,14/06/2023,10:25,14/06/2023,11:25,Administrador,Admin
44670100,Chave combinada 1/4,3,15/06/2023,21:23,15/06/2023,21:24,Administrador,Admin
44011107,Alicate para anéis externos curvo 7,3,15/06/2023,21:23,15/06/2023,21:24,Administrador,Admin
44060101,Alicate para arame de segurança 9,1,15/06/2023,21:21,15/06/2023,21:24,Administrador,Admin
44801101,Adaptador 1/4 para 3/8,8,15/06/2023,21:22,15/06/2023,21:24,Administrador,Admin
44808103,Soquete sextavado longo 1/4 - 1/4,8,15/06/2023,21:22,15/06/2023,21:24,Administrador,Admin
44003106,Alicate diagonal 6,1,16/06/2023,16:50,16/06/2023,16:51,Administrador,Admin
44670105,Chave combinada 9/16,1,16/06/2023,16:52,16/06/2023,16:52,Administrador,Admin
44670104,Chave combinada 1/2,1,16/06/2023,16:52,16/06/2023,16:52,Administrador,Admin
44670102,Chave combinada 3/8,1,16/06/2023,16:52,16/06/2023,16:52,Administrador,Admin
44003106,Alicate diagonal 6,1,16/06/2023,16:52,16/06/2023,16:52,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,2,16/06/2023,16:50,16/06/2023,16:53,Administrador,Admin
44003106,Alicate diagonal 6,1,20/06/2023,11:34,20/06/2023,11:34,Administrador,Admin
44804104,Extensão 1/4 4,1,20/06/2023,11:34,20/06/2023,11:41,Administrador,Admin
